City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
184,Ukiah,US,82.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
191,Wajir,KE,83.57,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
192,Kota Bahru,MY,76.95,few clouds,6.1333,102.2386,Grand Riverview Hotel
194,Butaritari,KI,81.34,light rain,3.0707,172.7902,Isles Sunset Lodge
195,Moerai,PF,78.19,few clouds,-22.4333,-151.3333,Le Manotel
196,Athni,IN,76.64,scattered clouds,16.7333,75.0667,Basawasri Lodge
200,Mantena,BR,72.27,overcast clouds,-18.7817,-40.9803,Hotel Estrela De Minas
203,Piacabucu,BR,79.68,clear sky,-10.4056,-36.4344,Piaçabuçu News
212,Acarau,BR,82.15,scattered clouds,-2.8856,-40.12,castelo pizzaria
216,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
217,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
220,Caucaia,BR,85.3,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
225,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
230,Penalva,BR,80.06,few clouds,-3.2942,-45.1736,Hotel São José
233,Ormara,PK,82.4,clear sky,25.2088,64.6357,Kenara Colony house for Rent
234,Boende,CD,77.32,overcast clouds,-0.2167,20.8667,Crôa Mares Hotel
236,San Patricio,US,85.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
238,Sambava,MG,73.6,clear sky,-14.2667,50.1667,Melrose
239,Hirara,JP,76.68,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
246,Biak,ID,76.01,overcast clouds,-0.9131,122.8766,Penginapan Kim
251,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
253,Makakilo City,US,78.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
254,Dire Dawa,ET,76.26,scattered clouds,9.5931,41.8661,Samrat Hotel
256,Alyangula,AU,77.34,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
257,Bondo,CD,71.17,light rain,3.8146,23.6866,Crôa Mares Hotel
260,Garmsar,IR,73.85,clear sky,35.2182,52.3409,مجتمع مرصاد
262,Pedernales,DO,85.77,broken clouds,18.0384,-71.744,Hotel Costa Marina
263,Padang,ID,76.78,broken clouds,-0.9492,100.3543,Mercure Padang
265,Apple Valley,US,82.27,clear sky,34.5008,-117.1859,Black Horse Motel
267,Ribera,IT,71.6,clear sky,37.4984,13.2642,B&B Le Foglie D'Argento
269,Carbonia,IT,72.55,clear sky,39.1672,8.5222,Lu 'Hotel
271,Faanui,PF,80.44,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
273,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
274,Black River,JM,86.85,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
275,Manono,CD,77.92,overcast clouds,-7.3,27.4167,Hotel hewa bora
277,Maningrida,AU,71.19,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
279,Cayenne,GF,80.1,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
280,Sao Raimundo Das Mangabeiras,BR,83.88,overcast clouds,-7.0219,-45.4811,Hotel Tropical
282,Madison,US,87.15,haze,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
283,Harper,LR,76.05,light rain,4.375,-7.7169,Screensaver
284,Sattahip,TH,83.98,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
285,Warri,NG,76.08,overcast clouds,5.5167,5.75,BON Hotel Delta
288,Ambagarh Chauki,IN,89.24,broken clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
289,Valentin Gomez Farias,MX,84.83,scattered clouds,28.2167,-106.5833,Crôa Mares Hotel
291,Safaga,EG,77.86,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
292,Diego De Almagro,CL,76.46,clear sky,-26.3667,-70.05,hotel luna del desierto
304,Karratha,AU,77.65,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
306,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
308,Vinh Long,VN,73.38,overcast clouds,10.25,105.9667,Phuong Thao Homestay
309,Sibolga,ID,76.84,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
311,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
321,Meulaboh,ID,77.72,overcast clouds,4.1363,96.1285,Kost Pria
322,Caravelas,BR,71.71,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
323,Mascote,BR,78.31,scattered clouds,-15.5631,-39.3025,Fazenda Novo ORIENTE
328,Laguna,US,87.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
329,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
332,Tecoanapa,MX,85.55,clear sky,16.5167,-98.75,Hotel Manglares
335,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
342,Niquelandia,BR,83.03,clear sky,-14.4739,-48.4597,Hotel Suinã
343,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
345,Wanning,CN,78.66,overcast clouds,18.8003,110.3967,Paradise Hotel
349,Lasa,IT,72.48,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
350,Fenoarivo Atsinanana,MG,70.47,light rain,-17.3667,49.4167,L'Oasis Lodge
351,Lagunas,PE,89.33,broken clouds,-5.2269,-75.6753,Hospedaje Eco
352,Portland,US,71.98,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
353,Odweyne,SO,81.21,overcast clouds,9.4092,45.064,Eng Hiirey House
355,Half Moon Bay,US,81.05,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
356,Touros,BR,77.38,few clouds,-5.1989,-35.4608,INN NEW HORIZON
362,Ndjole,GA,74.39,light rain,-0.1783,10.7649,Motel Kédyann
363,Pozo Colorado,PY,75.87,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
364,Poum,NC,78.75,clear sky,-20.2333,164.0167,Crôa Mares Hotel
366,Waingapu,ID,77.18,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
368,Lusambo,CD,71.74,broken clouds,-4.9667,23.45,Crôa Mares Hotel
369,Paracuru,BR,79.11,few clouds,-3.41,-39.0306,Hotel Vento Brasil
372,Jaque,PA,83.79,light rain,7.5175,-78.1703,Aventuras Jaque S.A
373,Coari,BR,82.31,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
376,Caramay,PH,78.37,overcast clouds,10.1815,119.236,Peace and Love Beach Club
377,Mulege,MX,87.13,clear sky,26.8833,-111.9833,Casa Granada
379,Bambanglipuro,ID,75.74,broken clouds,-7.95,110.2833,Puri Brata
381,Batticaloa,LK,81.19,few clouds,7.7102,81.6924,Grand Star Guest House
382,Stephenville,US,75.87,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
384,Pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
387,Bontang,ID,75.9,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
389,San Felipe,VE,86.2,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
390,Uravakonda,IN,76.71,scattered clouds,14.95,77.2667,Divya Lodge
391,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
392,Aripuana,BR,88.38,few clouds,-9.1667,-60.6333,Crôa Mares Hotel
