City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
352,Portland,45.5234,-122.6762,71.98,49,100,8.01,overcast clouds,US,2022-05-22 19:30:03
353,Odweyne,9.4092,45.064,81.21,42,96,10.33,overcast clouds,SO,2022-05-22 19:32:09
354,Hanyang,32.1371,105.5126,60.31,89,3,0.45,clear sky,CN,2022-05-22 19:32:09
355,Half Moon Bay,37.4636,-122.4286,81.05,61,20,14.97,few clouds,US,2022-05-22 19:32:10
356,Touros,-5.1989,-35.4608,77.38,88,16,13.0,few clouds,BR,2022-05-22 19:32:10
357,Vila Franca Do Campo,37.7167,-25.4333,64.81,93,82,4.27,light rain,PT,2022-05-22 19:32:10
358,Krasnaya Gorka,55.1962,56.6673,38.1,94,99,5.03,overcast clouds,RU,2022-05-22 19:32:11
359,Maarianhamina,60.0973,19.9348,44.46,61,0,2.3,clear sky,AX,2022-05-22 19:32:11
360,Kruisfontein,-34.0033,24.7314,53.89,75,100,3.29,overcast clouds,ZA,2022-05-22 19:32:11
361,Port Macquarie,-31.4333,152.9167,55.89,84,100,4.63,light rain,AU,2022-05-22 19:31:55
362,Ndjole,-0.1783,10.7649,74.39,95,33,2.28,light rain,GA,2022-05-22 19:32:12
363,Pozo Colorado,-23.4923,-58.7972,75.87,44,96,3.02,overcast clouds,PY,2022-05-22 19:32:12
364,Poum,-20.2333,164.0167,78.75,78,0,11.36,clear sky,NC,2022-05-22 19:32:12
365,Wanaka,-44.7,169.15,38.03,81,4,3.24,clear sky,NZ,2022-05-22 19:32:13
366,Waingapu,-9.6567,120.2641,77.18,83,44,9.08,scattered clouds,ID,2022-05-22 19:32:13
367,Talnakh,69.4865,88.3972,33.21,100,100,2.62,overcast clouds,RU,2022-05-22 19:32:13
368,Lusambo,-4.9667,23.45,71.74,86,80,1.61,broken clouds,CD,2022-05-22 19:32:14
369,Paracuru,-3.41,-39.0306,79.11,85,21,8.75,few clouds,BR,2022-05-22 19:32:14
370,Coihaique,-45.5752,-72.0662,39.81,81,75,10.36,broken clouds,CL,2022-05-22 19:32:14
371,Wanganui,-39.9333,175.05,51.6,89,46,1.99,scattered clouds,NZ,2022-05-22 19:33:15
372,Jaque,7.5175,-78.1703,83.79,78,19,4.83,light rain,PA,2022-05-22 19:33:15
373,Coari,-4.085,-63.1414,82.31,80,59,2.33,broken clouds,BR,2022-05-22 19:33:16
374,Leh,34.1667,77.5833,45.7,50,98,8.55,overcast clouds,IN,2022-05-22 19:33:16
